row,gazette_page,section,offence,punishment,cognizable_raw,bailable_raw,court
435,186,341(1),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.","Imprisonment for life, or imprisonment for 7 years and fine.",Cognizable.,Bailable.,Magistrate of the first class.
436,187,341(2),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.",Imprisonment for 7 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
437,187,341(3),"Possesses any seal, plate or other instrument knowing the same to be counterfeit.",Imprisonment for 3 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
438,187,341(4),"Fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit.","Same as if he had made or counterfeited such seal, plate or other instrument.",Cognizable.,Bailable.,Magistrate of the first class.
439,187,342(1),Counterfeiting a device or mark used for authenticating documents described in section 338 or possessing counterfeit marked material.,"Imprisonment for life, or imprisonment for 7 years and fine.",Non-cognizable.,Bailable.,Magistrate of the first class.
440,187,342(2),Counterfeiting a device or mark used for authenticating documents other than those described in section 338 or possessing counterfeit marked material.,Imprisonment for 7 years and fine.,Non-cognizable.,Non-bailable.,Magistrate of the first class.
441,187,343,"Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.","Imprisonment for life, or imprisonment for 7 years and fine.",Non-cognizable.,Non-bailable.,Magistrate of the first class.
442,187,344,Falsification of accounts.,"Imprisonment for 7 years, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
443,187,345(3),Using a false property mark with intent to deceive or injure any person.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
444,187,346,"Removing, destroying or defacing property mark with intent to cause injury.","Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
445,187,347(1),"Counterfeiting a property mark used by another, with intent to cause damage or injury.","Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
446,187,347(2),"Counterfeiting a property mark used by a public servant, or any mark used by him to denote the manufacture, quality, etc., of any property.",Imprisonment for 3 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
447,187,348,"Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark.","Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
448,188,349,Knowingly selling goods marked with a counterfeit property mark.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
449,188,350(1),"Fraudulently making a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods, which it does not contain, etc.","Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
450,188,350(2),Making use of any such false mark.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
451,188,351(2),Criminal intimidation.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate.
452,188,351(3),"If threat be to cause death or grievous hurt, etc.","Imprisonment for 7 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class.
453,188,351(4),Criminal intimidation by anonymous communication or having taken precaution to conceal whence the threat comes.,"Imprisonment for 2 years, in addition to the punishment under section 351(1).",Non-cognizable.,Bailable.,Magistrate of the first class.
454,188,352,Insult intended to provoke breach of the peace.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
455,188,353(1),"False statement, rumour, etc., circulated with intent to cause mutiny or offence against the public peace.","Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Non-bailable.,Any Magistrate.
456,188,353(2),"False statement, rumour, etc., with intent to create enmity, hatred or ill-will between different classes.","Imprisonment for 3 years, or fine, or both.",Cognizable.,Non-bailable.,Any Magistrate.
457,188,353(3),"False statement, rumour, etc., made in place of worship, etc., with intent to create enmity, hatred or ill-will.",Imprisonment for 5 years and fine.,Cognizable.,Non-bailable.,Any Magistrate.
458,188,354,Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
459,188,355,"Appearing in a public place, etc., in a state of intoxication, and causing annoyance to any person.","Simple imprisonment for 24 hours, or fine of 1,000 rupees, or both or with community service.",Non-cognizable.,Bailable.,Any Magistrate.
460,188,356(2),Defamation against the President or the Vice- President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor.,"Simple imprisonment for 2 years, or fine or both, or community service.",Non-cognizable.,Bailable.,Court of Session.
461,188,,Defamation in any other case.,"Simple imprisonment for 2 years, or fine or both, or community service.",Non-cognizable.,Bailable.,Magistrate of the first class.
