row,gazette_page,section,offence,punishment,cognizable_raw,bailable_raw,court
97,165,115(2),Voluntarily causing hurt.,"Imprisonment for 1 year or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
98,165,117(2),Voluntarily causing grievous hurt.,Imprisonment for 7 years and fine.,Cognizable.,Bailable.,Any Magistrate.
99,165,117(3),If hurt to results in permanent disability or persistent vegetative state.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life.,Cognizable.,Non-bailable.,Court of Session.
100,165,117(4),Grievous hurt caused by a group of 5 or more persons.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
101,165,118(1),Voluntarily causing hurt by dangerous weapons or means.,"Imprisonment for 3 years, or fine of 20,000 rupees, or both.",Cognizable.,Non-bailable.,Any Magistrate.
102,165,118(2),Voluntarily causing grievous hurt by dangerous weapons or means [except as provided in section 122(2)].,Imprisonment for life or imprisonment of not less than 1 year but which may extend to 10 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
103,165,119(1),"Voluntarily causing hurt to extort property, or to constrain to an illegal act.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
104,165,119(2),Voluntarily causing grievous hurt for any purpose referred to in sub-section (1).,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
105,165,120(1),"Voluntarily causing hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 7 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
106,165,120(2),"Voluntarily causing grievous hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
107,165,121(1),Voluntarily causing hurt to deter public servant from his duty.,"Imprisonment for 5 years, or fine, or both.",Cognizable.,Non-bailable.,Magistrate of the first class.
108,165,121(2),Voluntarily causing grievous hurt to deter public servant from his duty.,"Imprisonment not less than 1 year, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
109,166,122(1),"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
110,166,122(2),"Causing grievous hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 5 years, or fine of 10,000 rupees, or both.",Cognizable.,Bailable.,Magistrate of the first class.
111,166,123,"Causing hurt by means of poison, etc., with intent to commit an offence.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
112,166,124(1),"Voluntarily causing grievous hurt by use of acid, etc.",Imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
113,166,124(2),Voluntarily throwing or attempting to throw acid.,Imprisonment for 5 years but which may extend to 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
114,166,125,Doing any act endangering human life or personal safety of others.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
115,166,125(a),Where hurt is caused.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
116,166,125(b),Where grievous hurt is caused.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
117,166,126(2),Wrongfully restraining any person.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
118,166,127(2),Wrongfully confining any person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
119,166,127(3),Wrongfully confining for three or more days.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
120,166,127(4),Wrongfully confining for 10 or more days.,"Imprisonment for 5 years and fine of 10,000 rupees.",Cognizable.,Non-bailable.,Magistrate of the first class.
121,166,127(5),"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation.",Imprisonment for 2 years in addition to any term of imprisonment to under any other section and fine.,Cognizable.,Bailable.,Magistrate of the first class.
122,166,127(6),Wrongful confinement in secret.,Imprisonment for 3 years in addition to other punishment which he is liable to and fine.,Cognizable.,Bailable.,Magistrate of the first class.
123,166,127(7),"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",Imprisonment for 3 years and fine.,Cognizable.,Bailable.,Any Magistrate.
124,166,127(8),"Wrongful confinement for the purpose of extorting confession or information, or for compelling restoration of property, etc.",Imprisonment for 3 years and fine.,Cognizable.,Bailable.,Any Magistrate.
125,167,131,Assault or criminal force otherwise than on grave provocation.,"Imprisonment for 3 months, or fine of 1,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
126,167,132,Assault or use of criminal force to deter public servant from discharge of his duty.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Non-bailable.,Any Magistrate.
127,167,133,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation.","Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
128,167,134,Assault or criminal force in attempt to commit theft of property worn or carried by a person.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
129,167,135,Assault or use of criminal force in attempt wrongfully to confine a person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
130,167,136,Assault or use of criminal force on grave and sudden provocation.,"Simple imprisonment for one month, or fine of 1,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
131,167,137(2),Kidnapping.,Imprisonment for 7 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
132,167,139(1),Kidnapping a child for purposes of begging.,"Rigorous imprisonment not be less than 10 years but which may extend to imprisonment for life, and fine.",Cognizable.,Non-bailable.,Magistrate of the first class.
133,167,139(2),Maiming a child for purposes of begging.,"Imprisonment not be less than 20 years which may extend to remainder of that person's natural life, and fine.",Cognizable.,Non-bailable.,Court of Session.
134,167,140(1),Kidnapping or abducting in order to murder.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
135,167,140(2),"Kidnapping for ransom, etc.","Death, or imprisonment for life and fine.",Cognizable.,Non-bailable.,Court of Session.
136,167,140(3),Kidnapping or abducting with intent secretly and wrongfully to confine a person.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
137,167,140(4),"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
138,167,141,Importation of a girl or boy from foreign country.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
139,167,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",Punishment for kidnapping or abduction.,Cognizable.,Non-bailable.,Court by which the kidnapping or abduction is triable.
140,167,143(2),Trafficking of person.,Rigorous imprisonment for not less than 7 years but which may extend to 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
141,167,143(3),Trafficking of more than one person.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
142,168,143(4),Trafficking of a child.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
143,168,143(5),Trafficking of more than one child.,Rigorous imprisonment for not less than 14 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
144,168,143(6),Person convicted of offence of trafficking of child on more than one occasion.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable.,Non-bailable.,Court of Session.
145,168,143(7),Public servant or a police officer involved in trafficking of child.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable.,Non-bailable.,Court of Session.
146,168,144(1),Exploitation of a trafficked child.,Rigorous imprisonment for not less than 5 years but which may extend to 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
147,168,144(2),Exploitation of a trafficked person.,Rigorous imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
148,168,145,Habitual dealing in slaves.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
149,168,146,Unlawful compulsory labour.,"Imprisonment for 1 year, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
150,168,147,"Waging or attempting to wage war, or abetting the waging of war, against the Government of India.","Death, or imprisonment for life and fine.",Cognizable.,Non-bailable.,Court of Session.
151,168,148,Conspiring to commit certain offences against the State.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
152,168,149,"Collecting arms, etc., with the intention of waging war against the Government of India.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
153,168,150,Concealing with intent to facilitate a design to wage war.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
154,168,151,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power.",Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
155,168,152,"Act endangering sovereignty, unity and integrity of India.","Imprisonment for life, or imprisonment for 7 years and fine.",Cognizable.,Non-bailable.,Court of Session.
156,168,153,Waging war against Government of any foreign State at peace with the Government of India.,"Imprisonment for life and fine, or imprisonment for 7 years and fine, or fine.",Cognizable.,Non-bailable.,Court of Session.
157,168,154,Committing depredation on the territories of any foreign state at peace with the Government of India.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",Cognizable.,Non-bailable.,Court of Session.
158,169,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",Cognizable.,Non-bailable.,Court of Session.
159,169,156,Public servant voluntarily allowing prisoner of state or war in his custody to escape.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
160,169,157,Public servant negligently suffering prisoner of State or war in his custody to escape.,Simple imprisonment for 3 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
161,169,158,"Aiding escape of, rescuing or harbouring such prisoner.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
162,169,159,"Abetting mutiny, or attempting to seduce an officer, soldier, sailor or airman from his allegiance or duty.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
163,169,160,"Abetment of mutiny, if mutiny is committed in consequence thereof.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
164,169,161,"Abetment of assault by an officer, soldier, sailor or airman on his superior officer, when in execution of his office.",Imprisonment for 3 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
165,169,162,"Abetment of such assault, if the assault committed.",Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
166,169,163,"Abetment of the desertion of an officer, soldier, sailor or airman.","Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
167,169,164,Harbouring deserter.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable.,Any Magistrate.
168,169,165,Deserter concealed on board merchant vessel through negligence of master or person in charge thereof.,"Fine of 3,000 rupees.",Non-cognizable.,Bailable.,Any Magistrate.
169,169,166,"Abetment of act of insubordination by an officer, soldier, sailor or airman if the offence be committed in consequence.","Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
170,169,168,"Wearing garb or carrying token used by soldier, sailor or airman.","Imprisonment for 3 months, or fine of 2,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
171,169,173,Bribery.,"Imprisonment for 1 year or fine, or both, or if treating only, fine only.",Non-cognizable.,Bailable.,Magistrate of the first class.
172,169,174,Undue influence or personation at an election.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
173,169,175,False statement in connection with an election.,Fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
174,169,176,Illegal payments in connection with elections.,"Fine of 10,000 rupees.",Non-cognizable.,Bailable.,Magistrate of the first class.
175,170,177,Failure to keep election accounts.,"Fine of 5,000 rupees.",Non-cognizable.,Bailable.,Magistrate of the first class.
176,170,178,"Counterfeiting coins, government stamps, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
177,170,179,"Using as genuine forged or counterfeit coin, Government stamp currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
178,170,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","Imprisonment for 7 years, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
179,170,181,"Making, buying, selling or possessing machinery, instrument or material for forging or counterfeiting coins, Government stamp, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
180,170,182(1),Making or using documents resembling currency-notes or bank-notes.,Fine of 300 rupees.,Non-cognizable.,Bailable.,Any Magistrate.
181,170,182(2),On refusal to disclose the name and address of the printer.,Fine of 600 rupees.,Non-cognizable.,Bailable.,Any Magistrate.
182,170,183,"Effacing any writing from substance bearing a Government stamp, removing from a document a stamp used for it, with intent to cause a loss to Government.","a Imprisonment for 3 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
183,170,184,Using a Government stamp known to have been before used.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
184,170,185,Erasure of mark denoting that stamps have been used.,"Imprisonment for 3 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
185,170,186,Fictitious stamps.,Fine of 200 rupees.,Cognizable.,Bailable.,Any Magistrate.
186,170,187,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
187,170,188,Unlawfully taking from a Mint any coining instrument.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
188,170,189(2),Being member of an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
189,170,189(3),"Joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse.","Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
190,170,189(4),Joining an unlawful assembly armed with any deadly weapon.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
191,171,189(5),Knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse.,"Imprisonment for 6 months, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
192,171,189(6),"Hiring, engaging or employing persons to take part in an unlawful assembly.","The same as for a member of such assembly, and for any offence committed by any member of such assembly.",Cognizable.,According as offence is bailable or non-bailable.,The Court by which the offence is triable.
193,171,189(7),Harbouring persons hired for an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
194,171,189(8),Being hired to take part in an unlawful assembly or riot.,"Imprisonment for 6 months, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
195,171,189(9),Or to go armed.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
196,171,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.,The same as for the offence.,According as offence is cognizable or non- cognizable.,According as offence is bailable or non-bailable.,The Court by which the offence is triable.
197,171,191(2),Rioting.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
198,171,191(3),"Rioting, armed with a deadly weapon.","Imprisonment for 5 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
199,171,192,"Wantonly giving provocation with intent to cause riot, if rioting be committed.","Imprisonment for 1 year, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
200,171,,If not committed.,"Imprisonment for 6 months, or fine, or both.",Cognizable.,Bailable.,Any Magistrate.
201,171,193(1),"Owner or occupier of land not giving information of riot, etc.","Fine of 1,000 rupees.",Non-cognizable.,Bailable.,Any Magistrate.
202,171,193(2),Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it.,Fine.,Non-cognizable.,Bailable.,Any Magistrate.
203,171,193(3),Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it.,Fine.,Non-cognizable.,Bailable.,Any Magistrate.
204,171,194(2),Committing affray.,"Imprisonment for one month, or fine of 1,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
205,171,195(1),"Assaulting or obstructing public servant when suppressing riot, etc.","Imprisonment for 3 years, or fine not less than 25,000 rupees, or both.",Cognizable.,Bailable.,Magistrate of the first class.
206,171,195(2),"Threatening to assault or attempting to obstruct public servant when suppressing riot, etc.","Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
207,171,196(1),"Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","Imprisonment for 3 years, or fine, or both.",Cognizable.,Non-bailable.,Magistrate of the first class.
208,172,196(2),"Promoting enmity between classes in place of worship, etc.",Imprisonment for 5 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
209,172,197(1),"Imputations, assertions prejudicial to national integration.","Imprisonment for 3 years, or fine, or both.",Cognizable.,Non-bailable.,Magistrate of the first class.
210,172,197(2),"If committed in a place of public worship, etc.",Imprisonment for 5 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
211,172,198,Public servant disobeying direction of the law with intent to cause injury to any person.,"Simple imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
212,172,199,Public servant disobeying direction under law.,Rigorous imprisonment for not less than 6 months which may extend to 2 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
213,172,200,Non-treatment of victim by hospital.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
214,172,201,Public servant framing an incorrect document with intent to cause injury.,"Imprisonment for 3 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
215,172,202,Public servant unlawfully engaging in trade.,"Simple imprisonment for 1 year, or fine, or both, or community service.",Non-cognizable.,Bailable.,Magistrate of the first class.
216,172,203,Public servant unlawfully buying or bidding for property.,"Simple imprisonment for 2 years, or fine, or both and confiscation of property, if purchased.",Non-cognizable.,Bailable.,Magistrate of the first class.
217,172,204,Personating a public servant.,Imprisonment for not less than 6 months but which may extend to 3 years and fine.,Cognizable.,Non-bailable.,Any Magistrate.
218,172,205,Wearing garb or carrying token used by public servant with fraudulent intent.,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
219,172,206(a),Absconding to avoid service of summons or other proceeding from a public servant.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
220,172,206(b),"If summons or notice require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
221,172,207(a),"Preventing service of summons or other proceeding, or preventing publication thereof.","Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
222,172,207(b),"If summons, etc., require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
223,172,208(a),Non-attendance in obedience to an order from public servant.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
224,172,208(b),"If the order requires personal attendance, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
225,173,209,Non-appearance in response to a proclamation under section 84 of this Sanhita.,"Imprisonment for 3 years, or fine, or both, or community service.",Cognizable.,Non-bailable.,Magistrate of the first class.
226,173,,In a case where declaration has been made under sub-section (4) of section 84 of this Sanhita pronouncing a person as proclaimed offender.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
227,173,210(a),Omission to produce document to public servant by person legally bound to produce or deliver it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate."
228,173,210(b),If the document is required to be produced in or delivered to a Court.,"Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate."
229,173,211(a),Intentional omission to give notice or information to public servant by person legally bound to give it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
230,173,211(b),"If the notice or information required respects the commission of an offence, etc.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
231,173,211(c),If the notice or information is required by an order passed under sub-section (1) of section 394 of this Sanhita.,"Imprisonment for 6 months, or fine of 1,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
232,173,212(a),Knowingly furnishing false information to public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
233,173,212(b),"If the information required respects the commission of an offence, etc.","Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
234,173,213,Refusing oath when duly required to take oath by a public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate."
235,173,214,"Being legally bound to state truth, and refusing to answer public servant authorised to question.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate."
236,173,215,Refusing to sign a statement made to a public servant when legally required to do so.,"Simple imprisonment for 3 months, or fine of 3,000 rupees, or both.",Non-cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate."
237,174,216,Knowingly stating to a public servant on oath as true that which is false.,Imprisonment for 3 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
238,174,217,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person.,"Imprisonment for 1 year, or with fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
239,174,218,Resistance to the taking of property by the lawful authority of a public servant.,"Imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
240,174,219,Obstructing sale of property offered for sale by authority of a public servant.,"Imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
241,174,220,Illegal purchase or bid for property offered for sale by authority of public servant.,"Imprisonment for 1 month, or fine of 200 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
242,174,221,Obstructing public servant in discharge of his public functions.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
243,174,222(a),Omission to assist public servant when bound by law to give such assistance.,"Simple imprisonment for 1 month, or fine of 2,500 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
244,174,222(b),"Wilfully neglecting to aid a public servant who demands aid in the execution of process, the prevention of offences, etc.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
245,174,223(a),"Disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed.","Simple imprisonment for 6 months, or fine of 2,500 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
246,174,223(b),"If such disobedience causes danger to human life, health or safety, or causes or tends to cause a riot or affray.","Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable.,Bailable.,Any Magistrate.
247,174,224,"Threat of injury to public servant, etc.","Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
248,174,225,Threat of injury to induce person to refrain from applying for protection to public servant.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
249,174,226,Attempt to commit suicide to compel or restraint exercise of lawful power.,"Imprisonment for 1 year, or fine, or both, or community service.",Non-cognizable.,Bailable.,Any Magistrate.
250,174,229(1),Intentionally giving or fabricating false evidence in a judicial proceeding.,"Imprisonment for 7 years and 10,000 rupees.",Non-cognizable.,Bailable.,Magistrate of the first class.
251,174,229(2),Giving or fabricating false evidence in any other case.,"Imprisonment for 3 years and 5,000 rupees.",Non-cognizable.,Bailable.,Any Magistrate.
252,174,230(1),Giving or fabricating false evidence with intent to cause any person to be convicted of capital offence.,"Imprisonment for life, or rigorous imprisonment for 10 years and 50,000 rupees.",Non-cognizable.,Non-bailable.,Court of Session.
253,175,230(2),If innocent person be thereby convicted and executed.,"Death, or as above.",Non-cognizable.,Non-bailable.,Court of Session.
254,175,231,"Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years, or upwards.",The same as for the offence.,Non-cognizable.,Non-bailable.,Court of Session.
255,175,232(1),Threatening any person to give false evidence.,"Imprisonment for 7 years, or fine, or both.",Cognizable.,Non-bailable.,Court by which offence of giving false evidence is triable.
256,175,232(2),"If innocent person is convicted and sentenced in consequence of false evidence with death, or imprisonment for more than 7 years.",The same as for the offence.,Cognizable.,Non-bailable.,Court by which offence of giving false evidence is triable.
257,175,233,Using in a judicial proceeding evidence known to be false or fabricated.,The same as for giving or fabricating false evidence.,Non-cognizable.,According as offence of giving such evidence is bailable or non-bailable.,Court by which offence of giving or fabricating false evidence is triable.
258,175,234,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence.,The same as for giving false evidence.,Non-cognizable.,Bailable.,Court by which offence of giving false evidence is triable.
259,175,235,Using as a true certificate one known to be false in a material point.,The same as for giving false evidence.,Non-cognizable.,Bailable.,Court by which offence of giving false evidence is triable.
260,175,236,False statement made in any declaration which is by law receivable as evidence.,The same as for giving false evidence.,Non-cognizable.,Bailable.,Court by which offence of giving false evidence is triable.
261,175,237,Using as true any such declaration known to be false.,The same as for giving false evidence.,Non-cognizable.,Bailable.,Court by which offence of giving false evidence is triable.
262,175,238(a),"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, if a capital offence.",Imprisonment for 7 years and fine.,According as the offence in relation to which disappearance of evidence is caused is cognizable or non- cognizable.,Bailable.,Court of Session.
263,175,238(b),If punishable with imprisonment for life or imprisonment for 10 years.,Imprisonment for 3 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
264,175,238(c),If punishable with less than 10 years' imprisonment.,"Imprisonment for one- fourth of the longest term provided for the offence, or fine, or both.",Non-cognizable.,Bailable.,Court by which the offence is triable.
265,175,239,Intentional omission to give information of an offence by a person legally bound to inform.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Any Magistrate.
266,175,240,Giving false information respecting an offence committed.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
267,175,241,Secreting or destroying any document to prevent its production as evidence.,"Imprisonment for 3 years, or fine of 5,000 rupees, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
268,176,242,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security.","Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
