bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
122(2),"Causing grievous hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 5 years, or fine of 10,000 rupees, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
123,"Causing hurt by means of poison, etc., with intent to commit an offence.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
124(1),"Voluntarily causing grievous hurt by use of acid, etc.",Imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
124(2),Voluntarily throwing or attempting to throw acid.,Imprisonment for 5 years but which may extend to 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
125,Doing any act endangering human life or personal safety of others.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
125(a),Where hurt is caused.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
125(b),Where grievous hurt is caused.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
126(2),Wrongfully restraining any person.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(2),Wrongfully confining any person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(3),Wrongfully confining for three or more days.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(4),Wrongfully confining for 10 or more days.,"Imprisonment for 5 years and fine of 10,000 rupees.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(5),"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation.",Imprisonment for 2 years in addition to any term of imprisonment to under any other section and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(6),Wrongful confinement in secret.,Imprisonment for 3 years in addition to other punishment which he is liable to and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(7),"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",Imprisonment for 3 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
127(8),"Wrongful confinement for the purpose of extorting confession or information, or for compelling restoration of property, etc.",Imprisonment for 3 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
131,Assault or criminal force otherwise than on grave provocation.,"Imprisonment for 3 months, or fine of 1,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
132,Assault or use of criminal force to deter public servant from discharge of his duty.,"Imprisonment for 2 years, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
133,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
134,Assault or criminal force in attempt to commit theft of property worn or carried by a person.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
135,Assault or use of criminal force in attempt wrongfully to confine a person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
136,Assault or use of criminal force on grave and sudden provocation.,"Simple imprisonment for one month, or fine of 1,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
137(2),Kidnapping.,Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
139(1),Kidnapping a child for purposes of begging.,"Rigorous imprisonment not be less than 10 years but which may extend to imprisonment for life, and fine.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
139(2),Maiming a child for purposes of begging.,"Imprisonment not be less than 20 years which may extend to remainder of that person's natural life, and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
140(1),Kidnapping or abducting in order to murder.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
140(2),"Kidnapping for ransom, etc.","Death, or imprisonment for life and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
140(3),Kidnapping or abducting with intent secretly and wrongfully to confine a person.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
140(4),"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
141,Importation of a girl or boy from foreign country.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",Punishment for kidnapping or abduction.,cognizable,,non_bailable,Court by which the kidnapping or abduction is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
143(2),Trafficking of person.,Rigorous imprisonment for not less than 7 years but which may extend to 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
143(3),Trafficking of more than one person.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 167",
143(4),Trafficking of a child.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
143(5),Trafficking of more than one child.,Rigorous imprisonment for not less than 14 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
143(6),Person convicted of offence of trafficking of child on more than one occasion.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
143(7),Public servant or a police officer involved in trafficking of child.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
144(1),Exploitation of a trafficked child.,Rigorous imprisonment for not less than 5 years but which may extend to 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
144(2),Exploitation of a trafficked person.,Rigorous imprisonment for not less than 3 years but which may extend to 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
145,Habitual dealing in slaves.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
146,Unlawful compulsory labour.,"Imprisonment for 1 year, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
147,"Waging or attempting to wage war, or abetting the waging of war, against the Government of India.","Death, or imprisonment for life and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
148,Conspiring to commit certain offences against the State.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
149,"Collecting arms, etc., with the intention of waging war against the Government of India.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
150,Concealing with intent to facilitate a design to wage war.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
151,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
152,"Act endangering sovereignty, unity and integrity of India.","Imprisonment for life, or imprisonment for 7 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
153,Waging war against Government of any foreign State at peace with the Government of India.,"Imprisonment for life and fine, or imprisonment for 7 years and fine, or fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
154,Committing depredation on the territories of any foreign state at peace with the Government of India.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 168",
155,Receiving property taken by war or depredation mentioned in sections 153 and 154.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
156,Public servant voluntarily allowing prisoner of state or war in his custody to escape.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
157,Public servant negligently suffering prisoner of State or war in his custody to escape.,Simple imprisonment for 3 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
158,"Aiding escape of, rescuing or harbouring such prisoner.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
159,"Abetting mutiny, or attempting to seduce an officer, soldier, sailor or airman from his allegiance or duty.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
160,"Abetment of mutiny, if mutiny is committed in consequence thereof.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
161,"Abetment of assault by an officer, soldier, sailor or airman on his superior officer, when in execution of his office.",Imprisonment for 3 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
162,"Abetment of such assault, if the assault committed.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
163,"Abetment of the desertion of an officer, soldier, sailor or airman.","Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
164,Harbouring deserter.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
165,Deserter concealed on board merchant vessel through negligence of master or person in charge thereof.,"Fine of 3,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
166,"Abetment of act of insubordination by an officer, soldier, sailor or airman if the offence be committed in consequence.","Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
168,"Wearing garb or carrying token used by soldier, sailor or airman.","Imprisonment for 3 months, or fine of 2,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
173,Bribery.,"Imprisonment for 1 year or fine, or both, or if treating only, fine only.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
174,Undue influence or personation at an election.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
175,False statement in connection with an election.,Fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
176,Illegal payments in connection with elections.,"Fine of 10,000 rupees.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 169",
177,Failure to keep election accounts.,"Fine of 5,000 rupees.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
178,"Counterfeiting coins, government stamps, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
179,"Using as genuine forged or counterfeit coin, Government stamp currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","Imprisonment for 7 years, or fine, or both.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
181,"Making, buying, selling or possessing machinery, instrument or material for forging or counterfeiting coins, Government stamp, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
182(1),Making or using documents resembling currency-notes or bank-notes.,Fine of 300 rupees.,non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
182(2),On refusal to disclose the name and address of the printer.,Fine of 600 rupees.,non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
183,"Effacing any writing from substance bearing a Government stamp, removing from a document a stamp used for it, with intent to cause a loss to Government.","a Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
184,Using a Government stamp known to have been before used.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
185,Erasure of mark denoting that stamps have been used.,"Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
186,Fictitious stamps.,Fine of 200 rupees.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
187,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
188,Unlawfully taking from a Mint any coining instrument.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
189(2),Being member of an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
189(3),"Joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse.","Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
189(4),Joining an unlawful assembly armed with any deadly weapon.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 170",
189(5),Knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse.,"Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
189(6),"Hiring, engaging or employing persons to take part in an unlawful assembly.","The same as for a member of such assembly, and for any offence committed by any member of such assembly.",cognizable,,conditional,The Court by which the offence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
189(7),Harbouring persons hired for an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
189(8),Being hired to take part in an unlawful assembly or riot.,"Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
189(9),Or to go armed.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.,The same as for the offence.,conditional,,conditional,The Court by which the offence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",According as offence is cognizable or non-cognizable.
191(2),Rioting.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
191(3),"Rioting, armed with a deadly weapon.","Imprisonment for 5 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
192,"Wantonly giving provocation with intent to cause riot, if rioting be committed. / If not committed.","Imprisonment for 1 year, or fine, or both. / Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
193(1),"Owner or occupier of land not giving information of riot, etc.","Fine of 1,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
193(2),Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it.,Fine.,non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
193(3),Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it.,Fine.,non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
194(2),Committing affray.,"Imprisonment for one month, or fine of 1,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
195(1),"Assaulting or obstructing public servant when suppressing riot, etc.","Imprisonment for 3 years, or fine not less than 25,000 rupees, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
195(2),"Threatening to assault or attempting to obstruct public servant when suppressing riot, etc.","Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
196(1),"Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","Imprisonment for 3 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 171",
196(2),"Promoting enmity between classes in place of worship, etc.",Imprisonment for 5 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
197(1),"Imputations, assertions prejudicial to national integration.","Imprisonment for 3 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
197(2),"If committed in a place of public worship, etc.",Imprisonment for 5 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
198,Public servant disobeying direction of the law with intent to cause injury to any person.,"Simple imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
199,Public servant disobeying direction under law.,Rigorous imprisonment for not less than 6 months which may extend to 2 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
200,Non-treatment of victim by hospital.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
201,Public servant framing an incorrect document with intent to cause injury.,"Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
202,Public servant unlawfully engaging in trade.,"Simple imprisonment for 1 year, or fine, or both, or community service.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
203,Public servant unlawfully buying or bidding for property.,"Simple imprisonment for 2 years, or fine, or both and confiscation of property, if purchased.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
204,Personating a public servant.,Imprisonment for not less than 6 months but which may extend to 3 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
205,Wearing garb or carrying token used by public servant with fraudulent intent.,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
206(a),Absconding to avoid service of summons or other proceeding from a public servant.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
206(b),"If summons or notice require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
207(a),"Preventing service of summons or other proceeding, or preventing publication thereof.","Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
207(b),"If summons, etc., require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
208(a),Non-attendance in obedience to an order from public servant.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
208(b),"If the order requires personal attendance, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 172",
209,Non-appearance in response to a proclamation under section 84 of this Sanhita. / In a case where declaration has been made under sub-section (4) of section 84 of this Sanhita pronouncing a person as proclaimed offender.,"Imprisonment for 3 years, or fine, or both, or community service. / Imprisonment for 7 years and fine.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
