bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
62,"Attempting to commit offence punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence.","One half of the imprison-ment for life, or imprison-ment not exceeding one-half of the longest term, provided for the offence, or fine, or both.",conditional,,conditional,The court by which the offence attempted is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 159",According as the offence is cognizable or non-cognizable.
64(1),Rape.,"Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life, and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 159",
64(2),"Rape by a police officer or a public servant or member of armed forces or a person being on the management or on the staff of a jail, remand home or other place of custody or women's or children's institution or by a person on the management or on the staff of a hospital, and rape committed by a person in a position of trust or authority towards the person raped or by a near relative of the person raped.",Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
65(1),Persons committing offence of rape on a woman under sixteen years of age.,"Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
65(2),Persons committing offence of rape on a woman under twelve years of age.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or death.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
66,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or death.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
67,Sexual intercourse by husband upon his wife during separation.,Imprisonment for not less than 2 years but which may extend to 7 years and fine.,conditional,,bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",Cognizable (only on the complaint of the victim).
68,"Sexual intercourse by a person in authority, etc.","Rigorous imprisonment for not less than 5 years, but which may extend to 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
69,"Sexual intercourse by employing deceitful means, etc.",Imprisonment which may extend to 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
70(1),Gang rape.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 160",
